Date,VKOSPI,KOSPI200,Open_interest,For_KOSPI_Netbuying_Amount,For_Future_Netbuying_Quantity,For_Call_Netbuying_Quantity,For_Put_Netbuying_Quantity,Indiv_Future_Netbuying_Quantity,Indiv_Call_Netbuying_Quantity,Indiv_Put_Netbuying_Quantity,PCRatio,Day_till_expiration,Day_of_a_week
2012-06-29,20.03,239.98,771833,-1.55E+11,911,787,-7056,-994,-20363,9371,0.67,9,Fri
2012-07-02,19.61,244.9,779412,41201249925,523,7513,4813,-111,13475,12544,0.81,8,Mon
2012-07-03,18.53,244.46,811407,24489466205,1129,6074,9490,265,5200,17454,0.86,7,Tue
2012-07-04,18.01,246.8,858335,1.73E+11,-161,-4666,4887,-297,5625,11137,0.91,6,Wed
2012-07-05,18.21,247.76,875540,13994918070,1304,7090,4867,-1278,6427,2319,0.85,5,Thu
2012-07-06,18.67,247.67,897905,18049537466,-1023,-1869,107,-338,28305,-5979,1,4,Fri
2012-07-09,18.69,245.07,949357,-3.34E+11,2249,-198,363,-1075,20584,13332,0.81,3,Mon
2012-07-10,18.26,241.73,1014377,-1.16E+11,-3234,2693,-2356,2784,17272,4435,0.99,2,Tue
2012-07-11,18.39,240.88,1050229,-2.27E+11,-3564,4075,1021,1340,15884,6397,0.88,1,Wed
2012-07-12,18.83,240.34,1089987,-2.41E+11,-3924,7244,-9508,-216,72851,9504,1,0,Thu
2012-07-13,18.42,234.66,274715,-3.35E+11,1024,1671,-3316,-2249,-1618,3185,0.62,19,Fri
2012-07-16,17.85,238.77,377196,-84553697105,-93,3869,-1564,238,1449,1059,0.8,18,Mon
2012-07-17,17.7,239.39,449594,3.18E+11,-18,10028,1573,541,-3086,114,0.7,17,Tue
2012-07-18,18.49,240.19,518640,-43042360207,835,2541,-840,-2076,14757,-1300,0.85,16,Wed
2012-07-19,17.42,236.42,570781,72907139005,1825,6859,2927,1248,-11867,-4481,0.66,15,Thu
2012-07-20,17.59,240.44,625604,1.97E+11,-994,-1982,-2292,-338,-2699,2735,0.93,14,Fri
2012-07-23,20.19,240.35,656173,-1.85E+11,2054,8652,3107,-2920,16588,-3003,1.02,13,Mon
2012-07-24,20.26,235.75,702330,-20606549280,-1412,2470,-1221,734,5818,412,0.74,12,Tue
2012-07-25,21.26,236.65,730316,-88359520400,1529,-8004,-816,-236,15620,-1741,0.61,11,Wed
2012-07-26,20.54,233.49,749297,-43942397330,-3052,-2696,241,293,2435,525,0.69,10,Thu
2012-07-27,18.5,235.33,792874,4.81E+11,5311,5774,-3882,-435,-18311,22756,0.76,9,Fri
2012-07-30,19.25,242.23,817812,4.93E+11,1222,-2736,5291,142,-36,8548,0.84,8,Mon
2012-07-31,20.32,244.58,837252,6.2E+11,6988,-11057,3868,-759,-29395,8322,0.52,7,Tue
2012-08-01,20.92,250.08,882811,49409860130,3807,-3694,1254,-371,5832,1577,0.63,6,Wed
2012-08-02,21.57,249.6,913501,2.13E+11,277,9647,1661,1129,12877,-6180,0.94,5,Thu
2012-08-03,19.44,247.9,980470,-59582266875,-928,9995,5991,52,34122,18767,0.93,4,Fri
2012-08-06,19.38,244.81,1009672,1.64E+11,-228,-10599,-1755,1160,-13066,24692,0.49,3,Mon
2012-08-07,18.96,250.36,1054621,63585209520,2196,1121,3040,-364,21289,28804,0.56,2,Tue
2012-08-08,19.13,250.39,1113445,7.34E+11,10427,6529,1476,-4833,5404,34444,0.76,1,Wed
2012-08-09,19.41,252.84,1197168,1.57E+12,3754,-1356,-5559,292,-4818,93422,0.74,0,Thu
2012-08-10,18.97,258.08,316634,6.6E+11,-1764,-3919,-9760,2321,2763,8569,1.04,23,Fri
2012-08-13,19.3,258.91,389367,2.64E+11,-1642,-4251,3262,365,5197,-6411,1.02,22,Mon
